codigo,descripcion,seccion_codigo,index
sofohome001,Launchpad,SCLAUNCH001,
sofoctarfu001,Maestro de Areas Funcionales,SC1ESTRUC01,25
sofoctcebe001,Maestro de Centros de Beneficio,SC2MAESTR01,30
sofoctceco001,Maestro de Centros de Costo,SC2MAESTR01,45
sofoctcelo001,Maestros de Centros Logisticos,SC2MAESTR01,25
sofoctempl001,Maestro de Empleados,SC2GASTOS01,
sofoctgaam001,Importación de Depreciación de Activos Fijos,SC3HISTOR01,15
sofoctgrpc001,Maestro de Grupo Plan Cuenta Aplicación,SC2MAESTR01,
sofoctgrpr001,Maestro de Grupos de Productos,SC2MAESTR01,10
sofoctimaf001,Maestro de Activos Fijos,SC3HISTOR01,20
sofoctimba001,Maestro de Bancos,SC2MAESTR01,90
sofoctimdi001,Maestro de División,SC1ESTRUC01,20
sofoctimfo001,Importación de Forecast,SC3HISTOR01,5
sofoctimve001,Maestro de Variante de Ejercicio,SC2MAESTR01,
sofoctjecb001,Maestro de Jerarquia de Centro de Beneficio,SC2MAESTR01,35
sofoctjecc001,Maestro de Jerarquia de Centro de Costo,SC2MAESTR01,50
sofoctjepc001,Maestro de Jerarquia de Plan de Cuenta,SC2MAESTR01,80
sofoctlp001,Configuración Técnica,SC1CONFIG01,5
sofoctmaap001,Manejo de Aplicaciones,SC9MAUSER01,
sofoctmabq001,Manejo de Bloqueos Administrador,SC9MAUSER01,
sofoctmara001,Manejo de Relaciones de Apps - RoleCollection,SC9MAUSER01,
sofoctmarc001,Manejo de RoleCollections,SC9MAUSER01,
sofoctmaus001,Manejo de Usuarios,SC9MAUSER01,
sofoctmaus002,Actualización Usuario,SC9MAUSER01,
sofoctofve001,Maestro de Oficinas de Ventas,SC2MAESTR01,5
sofoctorve001,Maestro de Organización de Ventas,SC1ESTRUC01,5
sofoctpclg001,Maestro de Productos por Centros Logísticos,SC2MAESTR01,40
sofoctplcu001,Maestro de Plan de Cuenta,SC2MAESTR01,75
sofoctsoco001,Maestro de Sociedad CO,SC1ESTRUC01,10
sofoctsofi001,Maestro de Sociedad FI,SC1ESTRUC01,15
sofotxfvad001,Consolidado de Forecast,SC3FORECA01,
sofotxfvof001,Registro de Forecast,SC3FORECA01,
sofotxgarh001,Consolidado de Gastos de RRHH,SC2GASTOS01,
sofotximgn001,Manejo de Gastos No Distribuibles,SC2GASTOS01,
sofotximgn002,Consolidado de Gastos No Distribuibles,SC2GASTOS01,
sofotxgdal001,Manejo de Gastos Distribuibles,SC2GASTOS01,
sofoctgdbi001,Importación de Gastos de Bioseguridad (Deprecada),SC3HISTOR01,
sofoctagru001,Maestro de Agrupación,SC4PARAME01,15
sofoctsniv001,Segmentos de Niveles de Material,SC2MAESTR01,15
sofotxrhhe001,Manejo de Horas Extras,SC2GASTOS01,
sofotxrhhe002,Consulta de Horas Extras,SC5CONSOL01,
sofoctrhco001,Maestro de Parametros de RRHH,SC4PARAME01,5
sofotxrega001,Resumen de Gastos,SC5CONSOL01,
