codigorc_codigo,codigoapp_codigo
RCAD0001,sofotxcoad001
RCAD0002,sofotxcoad001
RCAD0003,sofotxcoad001
RCUS0001,sofotxcoad001
RCAD0001,sofouprqmp001
RCAD0001,sofoctarfu001
RCAD0001,sofocttpgt001
RCAD0001,sofoctcebe001
RCAD0001,sofoctceco001
RCAD0001,sofoctcelo001
RCAD0001,sofoctempl001
RCAD0001,sofoctgaam001
RCAD0001,sofoctgrpc001
RCAD0001,sofoctgrpr001
RCAD0001,sofoctimba001
RCAD0001,sofoctimdi001
RCAD0001,sofoctimfo001
RCAD0001,sofoctimve001
RCAD0001,sofoctjecb001
RCAD0001,sofoctjecc001
RCAD0001,sofoctjepc001
RCAD0001,sofoctlp001
RCAD0001,sofotxrhhe002
RCAD0001,sofounipro001
RCAD0001,sofounipro002
RCAD0001,sofounipro003
RCAD0001,sofounipro004
RCAD0001,sofounipro005
RCAD0001,sofoctmaap001
RCAD0001,sofoctmabq001
RCAD0001,sofoctmara001
RCAD0001,sofoctmarc001
RCAD0001,sofoctmaus001
RCAD0001,sofoctofve001
RCAD0001,sofoctorve001
RCAD0001,sofoctplcu001
RCAD0001,sofoctsniv001
RCAD0001,sofoctsoco001
RCAD0001,sofoctsofi001
RCAD0001,sofotxfvad001
RCAD0001,sofotxfvof001
RCAD0001,sofotxgarh001
RCAD0001,sofotxgdal001
RCAD0001,sofotximgn001
RCAD0001,sofoctagru001
RCAD0001,sofotxcomi001
RCAD0001,sofotxrhhe001
RCAD0001,sofoctrhco001
RCAD0001,sofotxrega001
RCAD0001,sofoctclac001
RCAD0001,sofoctpago001
RCAD0001,sofocttcno001
RCAD0001,sofotxtcno001
RCAD0001,sofoctmaus002
RCAD0001,sofoctlogs001
RCAD0001,sofotxtcno002
RCAD0001,sofotxgarh002
RCAD0001,sofotxgdal002
RCAD0001,sofoctmabq002
RCAD0001,sofoctimaf001
RCAD0001,sofoctasce001
RCAD0001,sofoctimga001
RCAD0001,sofocthoru001
RCAD0001,sofoctimlm001
RCAD0001,sofoctprod001
RCAD0001,sofoctpclg001
RCAD0001,sofoupeqrp001
RCAD0001,sofoupfaba001
RCAD0001,sofoupimab001
RCAD0001,sofoupcoma001
RCAD0001,sofoupcoma002
RCAD0001,sofouprqpp001
RCAD0001,sofoupmaup001
RCAD0001,sofoctrgpm001
RCAD0001,sofoupesco001
RCAD0001,sofoupcoma003
RCAD0001,sofouprqpa001
RCAD0001,sofolpinve001
RCAD0001,sofotxprin001
RCAD0001,sofoupinvp001
RCAD0001,sofoupagar001
RCAD0001,sofoupvind001
RCAD0001,sofoupinpr001
RCAD0001,sofoupcwip001
RCAD0001,sofoupcwip002
RCAD0001,sofocttmup001
RCAD0001,sofocttpgn001
RCAD0002,sofocttpgt001
RCAD0002,sofotxcomi001
RCAD0002,sofoctarfu001
RCAD0002,sofoctcebe001
RCAD0002,sofoctceco001
RCAD0002,sofoctcelo001
RCAD0002,sofoctempl001
RCAD0002,sofoctgrpc001
RCAD0002,sofoctgrpr001
RCAD0002,sofoctimba001
RCAD0002,sofoctimdi001
RCAD0002,sofoctimfo001
RCAD0002,sofoctimve001
RCAD0002,sofoctjecb001
RCAD0002,sofoctjecc001
RCAD0002,sofoctjepc001
RCAD0002,sofoctlp001
RCAD0002,sofoctofve001
RCAD0002,sofoctorve001
RCAD0002,sofoctplcu001
RCAD0002,sofoctsniv001
RCAD0002,sofoctsoco001
RCAD0002,sofoctsofi001
RCAD0002,sofotxfvad001
RCAD0002,sofotxfvof001
RCAD0002,sofotximgn001
RCAD0002,sofotxrhhe001
RCAD0002,sofotxgdal001
RCAD0002,sofotxrega001
RCAD0002,sofoctagru001
RCAD0002,sofoctmabq001
RCAD0002,sofoctrhco001
RCAD0002,sofocttcno001
RCAD0002,sofotxtcno001
RCAD0002,sofotxgarh001
RCAD0002,sofoctclac001
RCAD0002,sofoctpago001
RCAD0002,sofoctmaus002
RCAD0002,sofotxtcno002
RCAD0002,sofotxgarh002
RCAD0002,sofotxrhhe002
RCAD0002,sofotxgdal002
RCAD0002,sofoctimaf001
RCAD0002,sofoctgaam001
RCAD0002,sofoctimga001
RCAD0002,sofocthoru001
RCAD0002,sofoctimlm001
RCAD0002,sofoctprod001
RCAD0002,sofoctpclg001
RCAD0002,sofoctasce001
RCAD0002,sofoupmaup001
RCAD0002,sofoctrgpm001
RCAD0002,sofoupeqrp001
RCAD0002,sofounipro001
RCAD0002,sofoupfaba001
RCAD0002,sofoupimab001
RCAD0002,sofouprqpp001
RCAD0002,sofouprqmp001
RCAD0002,sofoupcoma001
RCAD0002,sofotxprin001
RCAD0002,sofolpinve001
RCAD0002,sofoupinvp001
RCAD0002,sofoupagar001
RCAD0002,sofoupvind001
RCAD0002,sofocttpgn001
RCAD0003,sofocttpgt001
RCAD0003,sofotxcomi001
RCAD0003,sofoctarfu001
RCAD0003,sofoctcebe001
RCAD0003,sofoctceco001
RCAD0003,sofoctcelo001
RCAD0003,sofoctempl001
RCAD0003,sofoctgrpc001
RCAD0003,sofoctgrpr001
RCAD0003,sofoctimba001
RCAD0003,sofoctimdi001
RCAD0003,sofoctimfo001
RCAD0003,sofoctimve001
RCAD0003,sofoctjecb001
RCAD0003,sofoctjecc001
RCAD0003,sofoctjepc001
RCAD0003,sofoctlp001
RCAD0003,sofoctofve001
RCAD0003,sofoctorve001
RCAD0003,sofoctplcu001
RCAD0003,sofoctsniv001
RCAD0003,sofoctsoco001
RCAD0003,sofoctsofi001
RCAD0003,sofotxfvad001
RCAD0003,sofotxfvof001
RCAD0003,sofotximgn001
RCAD0003,sofotxrhhe001
RCAD0003,sofotxgdal001
RCAD0003,sofotxrega001
RCAD0003,sofoctagru001
RCAD0003,sofoctrhco001
RCAD0003,sofocttcno001
RCAD0003,sofotxtcno001
RCAD0003,sofotxgarh001
RCAD0003,sofoctclac001
RCAD0003,sofoctpago001
RCAD0003,sofoctmaus002
RCAD0003,sofotxtcno002
RCAD0003,sofotxgarh002
RCAD0003,sofotxrhhe002
RCAD0003,sofotxgdal002
RCAD0003,sofoctmabq002
RCAD0003,sofoctimaf001
RCAD0003,sofoctgaam001
RCAD0003,sofoctimga001
RCAD0003,sofocthoru001
RCAD0003,sofoctimlm001
RCAD0003,sofoctprod001
