rolecollection_codigo,tipogasto_codigo
RCAD0001,GTOALQUIL
RCAD0001,GTOENERGI
RCAD0001,GTOIMPIMU
RCAD0001,SEGPATRIM
RCAD0001,GTOSEGURVE
RCAD0001,GTOSEGURIN
RCAD0001,SEGINDUST
RCUS0001,GTOALQUIL
RCUS0001,GTOENERGI
RCUS0001,GTOIMPIMU
RCUS0001,SEGPATRIM
RCUS0001,GTOSEGURVE
RCUS0001,GTOSEGURIN
RCUS0001,SEGINDUST
RCAD0002,GTOALQUIL
RCAD0002,GTOENERGI
RCAD0002,GTOIMPIMU
RCAD0002,SEGPATRIM
RCAD0002,GTOSEGURVE
RCAD0002,GTOSEGURIN
RCAD0002,SEGINDUST
RCAD0003,GTOALQUIL
RCAD0003,GTOENERGI
RCAD0003,GTOIMPIMU
RCAD0003,SEGPATRIM
RCAD0003,GTOSEGURVE
RCAD0003,GTOSEGURIN
RCAD0003,SEGINDUST
RCAD0005,GTOALQUIL
RCAD0005,GTOENERGI
RCAD0005,GTOIMPIMU
RCAD0005,SEGPATRIM
RCAD0005,GTOSEGURVE
RCAD0005,GTOSEGURIN
RCAD0005,SEGINDUST
RCUS0004,GTOALQUIL
RCUS0033,GTOSEGURIN
RCUS0033,GTOSEGURVE
RCUS0034,GTOENERGI
RCUS0035,GTOALQUIL
RCUS0035,GTOIMPIMU
RCUS0046,SEGINDUST
RCUS0044,SEGPATRIM
RCUS0036,SEGPATRIM
