codigo,descripcion
GABA,Alimentos Balanceados
GARE,Reproductoras No Valorada
GBEN,Beneficio
GDES,Partido/Deshuesado
GENG,Engorde
GHUE,Huevos
GMED,Medicinas y Vacunas
GREP,Reproductoras Valoradas
GSEL,Semielaborados
GSUB,Subproductos
GULT,Procesos Ulteriores
XAUD,Auditoria de Calidad
XCMB,Combustibles
XCOM,Mercadería
XEMB,Embalaje
XEMP,Empaques
XINS,Insumos Productivos
XMAP,Materia Prima
XMNV,Material No Valorado
XPAP,Papelería
XPPH,Producto PPH
XREP,Repuestos
XSER,Servicio Para La Venta
XSUM,Suministros
