areajerarquica,descripcion
1121101,Granja Desarrollo
1121201,Granja Postura
1121299,Granja Postura
1123101,Granja Engorde
1123102,Granja Engorde
1123103,Granja Engorde
1123104,Granja Engorde
1123201,Granja Engorde
1123202,Granja Engorde
1123203,Granja Engorde
1123204,Granja Engorde
1123205,Granja Engorde
1123206,Granja Engorde
1123207,Granja Engorde
1123301,Granja Engorde
1123302,Granja Engorde
1123303,Granja Engorde
1123304,Granja Engorde
1123305,Granja Engorde
1123306,Granja Engorde
1123307,Granja Engorde
1123308,Granja Engorde
1123309,Granja Engorde
1123310,Granja Engorde
1123311,Granja Engorde
1123312,Granja Engorde
1123313,Granja Engorde
11239,Granja Departamento de Serv
11299,Granja Departamento de Serv
