createdat,createdby,modifiedat,modifiedby,idbanco,bancopropio,sociedadfi_codigo,mensaje,paisblanco,clavebanco,denominacion,cuentabancaria,moneda_code,cuentademayor,historico
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,06651,BAC51,1000,"",HN,002BAC,BAC AHORROS 727106651,727106651,HNL,1120510110,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,19191,BAC91,1000,"",HN,002BAC,BAC AHORROS 725219191,725219191,HNL,1120510100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,45316,BAT16,1000,"",HN,003BAT,Atlántida  10120445316,10120445316,HNL,1120520110,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,24460,BAT60,1000,"",HN,003BAT,ATLANTIDA 1100024460,1100024460,HNL,1120520100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,47478,BAT78,1000,"",HN,003BAT,ATLANTIDA 10120447478,10120447478,USD,1121020100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,00207,BCF07,1000,"",HN,004BCAFE,BANHCAFE 1601000207,1601000207,HNL,1120525100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,15148,BNR48,1000,"",HN,010BANR,BANRURAL 02601010015148,02601010015148,HNL,1120535110,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,01566,BNR66,1000,"",HN,010BANR,BANRURAL 02603010001566,02603010001566,HNL,1120535100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,10013,BOC13,1000,"",HN,001BOCC,OCCIDENTE 214011010013,214011010013,HNL,1120505140,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,00816,BOC16,1000,"",HN,001BOCC,"Banco de Occidente, S.A.",114010000816,HNL,1120505100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,95836,BOC36,1000,"",HN,001BOCC,OCCIDENTE 214011595836,214011595836,HNL,1120505120,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,84952,BOC52,1000,"",HN,001BOCC,OCCIDENTE 224011084952,224011084952,USD,1121005100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,57470,BOC70,1000,"",HN,001BOCC,OCCIDENTE 212010557470,212010557470,HNL,1120505130,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,02282,BOC82,1000,"",HN,001BOCC,OCCIDENTE 114010002282,114010002282,HNL,1120505110,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,14801,BPS01,1000,"",HN,005BPAIS,BANPAIS 215990014801,215990014801,HNL,1120530100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,02265,FCA65,1000,"",HN,006BFCA,FICENSA 1000002265,1000002265,HNL,1120540100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,70213,FIC13,1000,"",HN,007BFCH,FICOHSA 01101370213,1101370213,HNL,1120515110,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,69983,FIC83,1000,"",HN,007BFCH,FICOHSA 01240169983,01240169983,HNL,1120515100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,81787,FIC87,1000,"",HN,007BFCH,FICOHSA  200011281787,200011281787,USD,1121010100,t
2025-08-27 22:33:22.856,DBULNES,2025-08-27 22:33:22.856,DBULNES,59309,HAN09,1000,"",US,001HAN,Hancock Whitney Bank 49259309,49259309,USD,1121040100,t
