createdat,createdby,modifiedat,modifiedby,centrocosto_codigo,tipogranja_codigo,tipoconsumoalimento_codigo
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121101001,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121101002,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121101003,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121101004,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121201001,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121201002,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121201003,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121201004,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121201005,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121201006,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1121201007,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1123205001,CON,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1123307001,TUN,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1123310001,TUN,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1123311001,TUN,SAC
2025-07-21 14:19:11.862,anonymous,2025-07-21 14:19:11.862,anonymous,1122101001,CTR,SAC
2025-07-22 20:20:31.304,NMATAMOROS,2025-07-22 20:20:51.459,NMATAMOROS,1123101001,CON,SAC
2025-07-22 20:21:08.521,NMATAMOROS,2025-07-22 20:21:08.521,NMATAMOROS,1123102001,CON,SAC
2025-07-22 20:33:22.376,NMATAMOROS,2025-07-22 20:33:22.376,NMATAMOROS,1123103001,CON,SAC
2025-07-22 20:35:24.563,NMATAMOROS,2025-07-22 20:35:24.563,NMATAMOROS,1123308001,TUN,AGR
2025-07-22 20:35:51.241,NMATAMOROS,2025-07-22 20:35:51.241,NMATAMOROS,1123309001,TUN,AGR
2025-07-22 20:36:29.922,NMATAMOROS,2025-07-22 20:36:29.922,NMATAMOROS,1123312001,TUN,AGR
2025-07-22 20:36:43.256,NMATAMOROS,2025-07-22 20:36:43.256,NMATAMOROS,1123313001,TUN,AGR
2025-07-22 20:33:40.68,NMATAMOROS,2025-07-22 20:43:37.092,NMATAMOROS,1123104001,CON,SAC
2025-07-22 20:33:53.217,NMATAMOROS,2025-07-22 20:43:54.794,NMATAMOROS,1123202001,CON,SAC
2025-07-22 20:34:22.733,NMATAMOROS,2025-07-22 20:44:07.297,NMATAMOROS,1123301001,CON,SAC
2025-07-22 20:34:36.426,NMATAMOROS,2025-07-22 20:44:18.738,NMATAMOROS,1123305001,CON,SAC
