createdat,createdby,modifiedat,modifiedby,empleado_codigo,concepto_codigo
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10011,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10013,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10027,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10036,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10037,CONBONESOP
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10041,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10066,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10069,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10070,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10071,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10088,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10089,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10101,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10109,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10114,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10115,CONBONESPI
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10116,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10119,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10121,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10125,CONBONESPD
2025-07-23 16:26:02.44,NMATAMOROS,2025-07-23 16:26:02.44,NMATAMOROS,10130,CONBONESPD
