createdat,createdby,modifiedat,modifiedby,codigo_codigo,desdecuenta_codigo,hastacuenta_codigo,syncs4,field
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,6110505001,6110505002,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,6110510001,6110510010,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,6110515001,6110515002,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,6110520001,6110520006,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,6110525001,6110525003,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,6234015001,6234015001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,6310505001,6310505005,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,6311010001,6311010008,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,6311010011,6311010014,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,7113010008,7113010008,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,COSTEO,7119505001,7119505004,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOALQUIL,6231005001,6231005001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOALQUIL,7112005001,7112005001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOAMORTI,6234005001,6234005009,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOAMORTI,6234010001,6234010001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOAMORTI,7115505001,7115505008,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOAMORTI,7115510001,7115510001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOCOMI,7110520001,7110520001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOENERGI,6232515001,6232515001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOENERGI,7113525001,7113525001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOIMPIMU,6231505001,6231505001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTOIMPIMU,7112505001,7112505001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6110510008,6110510008,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6110525001,6110525002,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6130505001,6130505002,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6210505001,6210505008,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6210505007,6210505007,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6230505003,6230505003,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6230510001,6230510002,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6230515001,6230515003,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6230520001,6230520004,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6231005002,6231005003,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6231010001,6231010004,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6231505002,6231505003,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6231510001,6231510002,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232005001,6232005003,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232005004,6232005004,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232010001,6232010001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232010002,6232010005,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232010006,6232010008,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232010009,6232010009,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232010010,6232010011,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232010012,6232010012,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232505001,6232505002,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232505003,6232505003,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232505004,6232505004,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232505999,6232505999,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232510001,6232510001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232515002,6232515003,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232515004,6232515004,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232515005,6232515005,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232520001,6232520001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232525001,6232525002,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232530001,6232530002,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232540001,6232540001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232540002,6232540005,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232540006,6232540006,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6232545001,6232545001,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6233005001,6233005004,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6233005005,6233005005,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6233005006,6233005007,f,f
2025-08-27 22:33:23.225,DBULNES,2025-08-27 22:33:23.225,DBULNES,GTONODIST,6233005008,6233005008,f,f
