createdat,createdby,modifiedat,modifiedby,listamateriales,fechainiciovalidez,mensaje,fechafinvalidez,producto_codigo,centrologistico_codigo,numerolista,cantidadbase,nodo,contador,componente_codigo,numeroposicion,cantidad,unidadmedidacomp,relevantefabricacion,relevantecalcosto,utilizacion,alternativalista,historico
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000001,00000002,10000013,0010,13.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000002,00000004,10000000,0020,1750.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000003,00000006,10000292,0030,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000004,00000008,10000001,0040,2630.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000005,00000010,10000009,0050,122.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000006,00000012,10000006,0060,24.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000007,00000014,10000018,0070,10.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000008,00000016,10000007,0080,6.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000009,00000018,10000021,0090,3.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000010,00000020,10000042,0100,4.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000011,00000022,10000005,0110,20.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000012,00000024,10000004,0120,41.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000013,00000026,10000014,0130,0.250,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000014,00000028,10000023,0140,1.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000015,00000030,10000008,0150,10.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000016,00000032,10000012,0160,14.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000017,00000034,10000034,0170,15.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000001,1000,00000057,5000.000,00000018,00000036,10000057,0180,7.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000002,00000004,10000001,0020,2654.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000003,00000006,10000293,0030,10.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000004,00000008,10000000,0040,1750.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000005,00000010,10000008,0050,9.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000000,1000,00000056,5000.000,00000006,00000012,10000071,0060,6.000,LB,t,X,1,1,t
