id,createdat,createdby,modifiedat,modifiedby,material_producto_codigo,material_centrologistico_codigo,ejercicio,escenario,moneda_code,preciop1,preciop2,preciop3,preciop4,preciop5,preciop6,preciop7,preciop8,preciop9,preciop10,preciop11,preciop12,bloqueouser,bloqueoadmin,historico
370c10c8-3ebe-44e2-b1e4-0d91fe4e226c,2025-09-03 15:38:47.23,DEVELOPER,2025-09-04 15:37:03.484,FUNCIONAL,10000005,1000,2025,1,HNL,21.4500,21.4500,21.4500,21.4500,15.2000,0.0000,0.0000,15.9100,13.8300,29.7700,0.0000,31.3000,f,f,f
bc44a0fe-bf1a-4ab2-9396-e51184452bc8,2025-09-03 15:38:47.23,DEVELOPER,2025-09-04 15:38:30.825,FUNCIONAL,10000001,1000,2025,1,HNL,3.4200,3.1200,3.3700,3.3000,3.5000,3.2900,3.4800,3.8300,3.9000,3.1200,3.1500,3.7200,f,f,f
8aa76c7f-bc45-4a4e-a532-3cce7e493f37,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000000,1000,2025,1,HNL,5.4500,5.4500,5.4500,5.5000,5.5000,5.5000,5.5500,5.5500,5.5500,5.6000,5.6000,5.6000,f,f,f
e5b7f953-bdb6-43de-9ec8-5f2a526dfdf7,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000002,1000,2025,1,HNL,4.3300,4.3200,4.3500,4.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,f,f,f
184cbb5b-2684-4d39-bf85-f3e5de5915ac,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000004,1000,2025,1,HNL,0.9100,0.9200,0.9000,0.9100,0.9100,0.9100,0.9100,0.8600,0.9100,0.9100,0.9100,0.9100,f,f,f
f2e6459b-4265-4649-9d7d-152928b96c81,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000006,1000,2025,1,HNL,33.4300,0.0000,33.8200,32.7000,0.0000,30.2100,34.3100,34.9700,30.5000,39.6900,34.1000,35.2500,f,f,f
ccb07b6b-9564-420e-83b7-9ed0345278f3,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000007,1000,2025,1,HNL,53.0300,53.0600,53.0900,53.0700,53.1300,53.1400,53.2500,53.2500,53.2800,53.4800,53.6900,54.1900,f,f,f
bcb2051c-23f2-45f1-aba7-723b3823b537,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000008,1000,2025,1,HNL,6.2700,6.6200,6.2900,9.2700,5.5600,5.6500,6.2700,5.0000,5.5000,5.7000,8.0700,6.2000,f,f,f
c7d0f4fd-d000-4dee-9993-7ec15ac56e44,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000009,1000,2025,1,HNL,15.3900,16.1600,16.2200,17.9000,18.1800,17.0000,15.7100,15.2100,15.8700,16.3400,17.7600,19.1000,f,f,f
f427a4a8-ae3b-4904-a2a0-7ab3cf172e39,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000010,1000,2025,1,HNL,53.0000,53.0000,53.0000,53.0000,53.0000,53.0000,53.0000,49.9500,53.0000,53.0000,53.0000,53.0000,f,f,f
1923628f-d50b-45eb-a79a-7c3fdb7d2fd2,2025-09-03 15:38:47.23,DEVELOPER,2025-09-03 15:38:47.23,DEVELOPER,10000011,1000,2025,1,HNL,21.2200,0.0000,24.2000,0.0000,0.0000,21.4000,18.9400,0.0000,0.0000,0.0000,19.3700,19.3700,f,f,f
