createdat,createdby,modifiedat,modifiedby,codigo,descripcion,unidad,segmentonivel1_segmento_codigojerarquia,segmentonivel2_codigojerarquia,segmentonivel3_codigojerarquia,grupoproducto_codigo,tipomaterial_codigo,historico
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000000,HARINA DE SOYA,LB,"","","",MACRO002,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000001,MAIZ IMPORTADO,LB,"","","",MACRO001,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000002,MAIZ NACIONAL,LB,"","","",MACRO001,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000003,SORGO NACIONAL,LB,"","","",MACRO001,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000004,CALCIO FINO,LB,20010,20010,20010,MACRO006,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000005,L-LYSINA,LB,"","","",MICRO002,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000006,METHIONINA EN POLVO,LB,20010,20010,20010,MICRO002,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000007,MYCOFIX SELECT,LB,"","","",MICRO017,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000008,BICARBONATO DE SODIO,LB,"","","",MICRO005,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000009,ACEITE DE PALMA,LB,"","","",LIQUI003,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000010,TERMIN-8 LIQUIDO,LB,"","","",MICRO018,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000011,BIOLYS,LB,"","","",MICRO002,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000012,CLORURO DE COLINA,LB,20010,20010,20010,MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000013,SAL REFINADA,LB,"","","",MICRO005,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000014,OLAQUINDOX,LB,"","","",MICRO010,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000015,PXB TROUW PRE-INICIO,LB,"","","",MICRO008,XMAP,t
2025-08-27 22:33:07.746,DBULNES,2025-08-27 22:33:07.746,DBULNES,10000016,PXB TROUW FINALIZADOR BROILER,LB,"","","",MICRO008,XMAP,t
