createdat,createdby,modifiedat,modifiedby,codigojerarquia,numnivel,descripcion
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,00001,1,Best Practices Jerarq.Prod Nivel Superio
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,00002,1,Bebidas
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,01010,1,Pollo Entero
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,02010,1,Pollo Partido
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,02020,1,Partes de pollo
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,02030,1,Otros Productos Pollo Partido
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,03010,1,Pollo Deshuesado
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,04010,1,Otros Cortes
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,05010,1,Pollo Proceso Ulterior
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,06010,1,Pavipollo
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,07010,1,Pavipollo Ulterior
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,08010,1,Menudos
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,08110,1,Sub-Productos
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,09010,1,Gallina
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,10010,1,Gallina  Ulterior
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,110,1,Café
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,120,1,Cama de pollo
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,12010,1,Cama de pollo
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,12020,1,Gallinaza
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,130,1,Nutricarne
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,13010,1,Congelada
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,13020,1,Materia Prima Nutricarne
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,14010,1,Fértil
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,14020,1,Consumo
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,15010,1,Desarollo Comercial
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,15020,1,Postura Comercial
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,15030,1,Engorde Comercial
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,16010,1,Pollo Engorde
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,16020,1,Galllos en Pie
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,16030,1,Gallina en Pie
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,17010,1,Servicio Laboratorio
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,17020,1,Servicio Venta Activo Fijo
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,17030,1,Servicio Venta Viscera y Otros
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,17040,1,Servicio de Maquila Avicola
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,18010,1,Mercaderias
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,19010,1,Alimento ABA
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,20010,1,Materia Prima
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,21010,1,Embutidos
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,22010,1,Mariscos
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,23010,1,Productos Pirulon
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,24010,1,Alimentos PPH
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0000100001,2,Aparatos eléctricos
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0000100002,2,Bombas aire comprim.
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,00001B0001,2,Jerarq. Prod. Segundo Nivel - Products A
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,00001B0002,2,Jerarq. Prod. Segundo Nivel - Products B
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0000200001,2,Bebidas alcohólicas
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0000200002,2,Sin alcohol
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0000200003,2,Accesorios
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0101001001,2,Fresco
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0101002001,2,Congelado
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,020100,2,Pollo en Piezas
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0201001001,2,Fresco
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,020100200,2,Congelado
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0201002001,2,Congelado
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0202001001,2,Congelado
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0203001001,2,Fresco
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0203001002,2,Fresco
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0203002001,2,Congelado
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0203002002,2,Congelado
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,030100100,2,Producto de Pollo Deshuesado
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0301001001,2,Fresco
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0301001002,2,Granel
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,030100200,2,Congelado
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0301002001,2,Bandeja
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0301002002,2,Granel
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0401001001,2,Frescos
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0401001002,2,Granel
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0401002001,2,Congelado
2025-08-27 22:33:02.506,DBULNES,2025-08-27 22:33:02.506,DBULNES,0401002002,2,Congelado
