createdat,createdby,modifiedat,modifiedby,codigo,descripcion
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,0001,Área funcional 0001
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,0002,Área funcional 0002
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,0003,Área funcional 0003
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,0004,Área funcional 0004
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,0100,Producción
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,0300,Comercial
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,0400,Administración
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,0500,Investig.y Desarrollo
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,0980,Costes analíticos
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,PT01,Coste ventas y servicios
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,PT02,Costes de ventas
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,PT03,Csts.ventas/admón.
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,PT04,Costes netos finanac.
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,PT05,Gastos otra inversión
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,PT06,Resultado actual impuesto
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,PT07,Resultado ext.impuesto
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,XB30,Costo de Ventas
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB10,Ingresos por ventas
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB15,Descuentos sobre ventas
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB20,Produccion
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB30,Ventas y logistica
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB35,Marketing
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB40,Administracion
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB50,Investigacion & Desarroll
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB70,Otros ingresos
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB75,Otros gastos
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB90,Los impuestos sobre la re
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB95,Otras cuentas de resultad
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB98,Otros impuestos
2025-08-27 22:22:12.253,DBULNES,2025-08-27 22:22:12.253,DBULNES,YB99,Dummy funcional area
