createdat,createdby,modifiedat,modifiedby,groupname,groupnameprev,hierlevel,valcount,descript,coarea
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,0001,"",0,1,Avicola El Cortijo,""
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,10,0001,1,2,Alimentos Balanceados,""
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,20,0001,1,0,Producción Avicola,""
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,200,20,2,1,Granjas de Desarrollo,""
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,210,20,2,1,Granjas de Postura,""
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,230,20,2,4,Granjas de Engorde Propias,""
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,240,20,2,7,Granjas de Engorde Alquiladas,""
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,260,20,2,15,Granjas de Engorde Subcontratadas,""
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,40,0001,1,1,Planta de Procesos,""
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,50,0001,1,7,Almacen y Distribución,""
2025-08-27 22:33:13.831,DBULNES,2025-08-27 22:33:13.831,DBULNES,60,0001,1,2,Costos Distribuibles,""
