createdat,createdby,modifiedat,modifiedby,oficvta,descripcion,orgventas_orgventas,historico
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1001,Ofic. Germania,1000,t
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1002,Ofic. San Pedro Sula,1000,t
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1003,Ofic. Plaza Loarque,1000,t
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1004,Ofic Plaza Loarque 2,1000,t
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1005,Ofic. SV Kennedy,1000,t
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1006,Ofic. SV Villanueva,1000,t
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1007,Ofic SV SPS AvenCirc,1000,t
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1008,Ofic. Siguatepeque,1000,t
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1009,Ofic. Juticalpa,1000,t
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1010,Ofic SV Bo.Guadalupe,1000,t
2025-08-27 22:33:00.956,DBULNES,2025-08-27 22:33:00.956,DBULNES,1011,Ofic SV Ceiba,1000,t
