createdat,createdby,modifiedat,modifiedby,codigo,tipo_codigo,acreedor_codigo
2025-09-02 23:59:40.117,MALVARADO,2025-09-02 23:59:40.117,MALVARADO,TI001,TI,800005
2025-09-02 23:59:40.117,MALVARADO,2025-09-02 23:59:40.117,MALVARADO,TI002,TI,800005
2025-09-02 23:59:40.117,MALVARADO,2025-09-02 23:59:40.117,MALVARADO,TI003,TI,800005
2025-09-02 23:59:40.117,MALVARADO,2025-09-02 23:59:40.117,MALVARADO,TI004,TI,800005
2025-09-02 23:59:40.117,MALVARADO,2025-09-02 23:59:40.117,MALVARADO,TI005,TI,800005
2025-09-02 23:59:40.117,MALVARADO,2025-09-02 23:59:40.117,MALVARADO,TI006,TI,800020
2025-09-02 23:59:40.117,MALVARADO,2025-09-02 23:59:40.117,MALVARADO,TI007,TI,800020
2025-09-02 23:59:40.117,MALVARADO,2025-09-02 23:59:40.117,MALVARADO,TI008,TI,800020
2025-09-08 20:20:55.164,MALVARADO,2025-09-08 20:20:55.164,MALVARADO,CB001,CB,800005
2025-09-08 20:24:10.559,MALVARADO,2025-09-08 20:24:10.559,MALVARADO,GB001,GB,800005
2025-09-08 20:45:57.584,MALVARADO,2025-09-08 20:45:57.584,MALVARADO,CB002,CB,800005
2025-09-08 20:47:34.332,MALVARADO,2025-09-08 20:47:34.332,MALVARADO,GB002,GB,800005
2025-09-08 21:17:12.137,MALVARADO,2025-09-08 21:17:12.137,MALVARADO,TI009,TI,800005
2025-09-10 16:29:46.851,CBERRIOS,2025-09-10 16:29:46.851,CBERRIOS,TI010,TI,200001
2025-09-10 16:31:30.31,CBERRIOS,2025-09-10 16:31:30.31,CBERRIOS,RE001,RE,200001
2025-09-10 16:32:39.846,CBERRIOS,2025-09-10 16:32:39.846,CBERRIOS,TI011,TI,200001
