createdat,createdby,modifiedat,modifiedby,codigo,descripcion,ejercicio,tipogasto_codigo
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_AP24,Alquiler de Apartamento,2024,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_AP25,Alquiler de Apartamento,2025,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_CC24,Alquiler de Comayagua,2024,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_CC25,Alquiler de Comayagua,2025,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_CJ24,Alquiler de Juticalpa,2024,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_CJ25,Alquiler de Juticalpa,2025,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_CS24,Alquiler de CD San Pedro Sula,2024,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_CS25,Alquiler de CD San Pedro Sula,2025,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_OP24,Alquiler de Oficinas Perisur,2024,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_OP25,Alquiler de Oficinas Perisur,2025,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_SC24,Alquiler de Sala de Ventas Choluteca,2024,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_SC25,Alquiler de Sala de Ventas Choluteca,2025,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_SK24,Alquiler de Sala de Ventas Kennedy,2024,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_SK25,Alquiler de Sala de Ventas Kennedy,2025,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_SL24,Alquiler de Sala de Ventas Loarque,2024,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_SL25,Alquiler de Sala de Ventas Loarque,2025,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_SS24,Alquiler de Sala de Ventas San Pedro Sula,2024,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_SS25,Alquiler de Sala de Ventas San Pedro Sula,2025,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_SV24,Alquiler de Sala de Ventas Villanueva,2024,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,1_AQ_SV25,Alquiler de Sala de Ventas Villanueva,2025,GTOALQUIL
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_BO24,Energía Eléctrica Bomba,2024,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_BO25,Energía Eléctrica Bomba,2025,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_CG24,Energía Eléctrica Germania,2024,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_CG25,Energía Eléctrica Germania,2025,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_CS24,Energía Eléctrica CD San Pedro Sula,2024,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_CS25,Energía Eléctrica CD San Pedro Sula,2025,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_GA24,Energía Eléctrica Granja Avendaño,2024,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_GA25,Energía Eléctrica Granja Avendaño,2025,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_GG24,Energía Eléctrica Sala de Venta Loarque,2024,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_GG25,Energía Eléctrica Sala de Venta Loarque,2025,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_GNA24,Energía Eléctrica Nueva Aldea,2024,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_GNA25,Energía Eléctrica Nueva Aldea,2025,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_GPB24,Energía Eléctrica Peña Blanca,2024,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_GPB25,Energía Eléctrica Peña Blanca,2025,GTOENERGI
2025-07-22 16:44:28.102,DBULNES,2025-07-22 16:44:28.102,DBULNES,2_EE_OP24,Energía Eléctrica Oficinas Perisur,2024,GTOENERGI
