createdat,createdby,modifiedat,modifiedby,agrupador_codigo,centrocosto_codigo
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_CC24,1113000009
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_CC25,1113000009
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_CJ24,1113000008
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_CJ25,1113000008
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_CS24,1113000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_CS25,1113000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1111100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1111100003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1111100005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1111200001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1111200002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1111200003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1111200007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1111300002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1112100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP24,1112310001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1111100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1111100003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1111100005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1111200001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1111200002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1111200003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1111200007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1111300002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1112100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_OP25,1112310001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_SC24,1112350001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_SC25,1112350001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_SK24,1112330002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_SK25,1112330002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_SL24,1112330001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_SL25,1112330001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_SS24,1112340001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_SS25,1112340001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_SV24,1112330003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,1_AQ_SV25,1112330003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1112400001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1113000007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1121201001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1121201002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1121201003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1121201004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1121201005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1121201006
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1121201007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1121299001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1123101001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1123102001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1123900001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO24,1131100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1112400001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1113000007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1121201001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1121201002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1121201003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1121201004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1121201005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1121201006
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1121201007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1121299001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1123101001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1123102001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1123900001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_BO25,1131100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1111100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1111100003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1111100004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1111200004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1111200005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1111200007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1111400001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1113000002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1113000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1131100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1131600001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1131700002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1131800001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1132000002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1132000003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1132000099
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1133000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1140000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111100003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111100004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111200004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111200005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111200007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111400001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1113000002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1113000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1131100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1131600001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1131700002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1131800001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1132000002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1132000003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1132000099
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1133000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1140000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CS24,1113000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CS25,1113000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GA24,1123205001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GA25,1123205001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GG24,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GG25,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GNA24,1123103001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GNA25,1123103001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GPB24,1123104001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GPB25,1123104001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111100003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111100005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111200001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111200002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111200003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111200007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111300002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1112100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1112310001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111100003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111100005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111200001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111200002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111200003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111200007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111300002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1112100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1112310001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SC24,1112350001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SC25,1112350001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SK24,1112330002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SK25,1112330002
