id,createdat,createdby,modifiedat,modifiedby,sociedadfi_codigo,indicadorcuenta,ejercicio,moneda_code,importep1,importep2,importep3,importep4,importep5,importep6,importep7,importep8,importep9,importep10,importep11,importep12,empleado_codigo,bloqueouser,bloqueoadmin,escenario,agrupador_codigo
caa74f53-4dd6-4f5a-8e92-2a8c5882406f,2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,1000,GTOALQUIL,2025,USD,3565.0000,3565.0000,3565.0000,3565.0000,3565.0000,3565.0000,3565.0000,3565.0000,3565.0000,3565.0000,3565.0000,3565.0000,,f,f,1,1_AQ_OP25
b2b6dc6e-3adb-4822-bf90-4b3683445eca,2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,1000,GTOALQUIL,2025,USD,6483.6700,6483.6700,6483.6700,6483.6700,6483.6700,6483.6700,6483.6700,6483.6700,6483.6700,6483.6700,6483.6700,6483.6700,,f,f,1,1_AQ_CS25
c431cf76-457f-486a-9533-1ce278b8b362,2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,1000,GTOALQUIL,2025,HNL,30881.2000,30881.2000,30881.2000,30881.2000,30881.2000,30881.2000,30881.2000,30881.2000,30881.2000,30881.2000,30881.2000,30881.2000,,f,f,1,1_AQ_SL25
99e16fe0-d0b0-435a-beaf-ff39f8ab023d,2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,1000,GTOALQUIL,2025,HNL,25300.0000,25300.0000,25300.0000,25300.0000,25300.0000,25300.0000,25300.0000,25300.0000,25300.0000,25300.0000,25300.0000,25300.0000,,f,f,1,1_AQ_SK25
e61c1c66-ae09-465c-90b9-a162efd842ec,2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,1000,GTOALQUIL,2025,HNL,23575.0000,23575.0000,23575.0000,23575.0000,23575.0000,23575.0000,23575.0000,23575.0000,23575.0000,23575.0000,23575.0000,23575.0000,,f,f,1,1_AQ_SV25
dbda876c-dc92-4cb7-94c2-ba8b83a69bc2,2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,1000,GTOALQUIL,2025,USD,2293.2600,2293.2600,2293.2600,2293.2600,2293.2600,2444.1600,2444.1600,2444.1600,2444.1600,2444.1600,2444.1600,2444.1600,,f,f,1,1_AQ_SS25
d785f721-eadb-48b4-acc0-406c40877b0d,2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,1000,GTOALQUIL,2025,HNL,46000.0000,46000.0000,46000.0000,46000.0000,46000.0000,46000.0000,46000.0000,46000.0000,46000.0000,46000.0000,46000.0000,46000.0000,,f,f,1,1_AQ_CJ25
dc099eb9-55e4-4c98-902f-77425e830647,2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,1000,GTOALQUIL,2025,USD,3383.9300,3383.9300,3383.9300,3383.9300,3383.9300,3383.9300,3383.9300,3383.9300,3383.9300,3383.9300,3383.9300,3383.9300,,f,f,1,1_AQ_CC25
45325661-bfe4-4c67-9bcb-d685d63867d5,2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,1000,GTOALQUIL,2025,HNL,18400.0000,18400.0000,18400.0000,18400.0000,18400.0000,18400.0000,18400.0000,18400.0000,18400.0000,18400.0000,18400.0000,18400.0000,,f,f,1,1_AQ_SC25
e3c2cbd7-70e7-4641-badb-d186697dd7df,2025-09-17 22:08:44.746,DBULNES,2025-09-17 22:08:44.746,DBULNES,1000,GTOENERGI,2025,HNL,2640360.6134,2613713.2687,2821707.5013,2651013.0575,2886963.8306,2822226.3338,2872477.8505,2956043.1336,2825256.5726,2990077.4163,3082854.2074,2868812.7938,,f,f,1,2_EE_CG25
