id,createdat,createdby,modifiedat,modifiedby,sociedadfi_codigo,centrocosto_codigo,centrologistico_codigo,tipodistribucion_codigo,indicadorcuenta,agrupador_codigo,ejercicio,periodop1,periodop2,periodop3,periodop4,periodop5,periodop6,periodop7,periodop8,periodop9,periodop10,periodop11,periodop12,participacionp1,participacionp2,participacionp3,participacionp4,participacionp5,participacionp6,participacionp7,participacionp8,participacionp9,participacionp10,participacionp11,participacionp12,empleado_codigo,bloqueouser,bloqueoadmin,escenario
51a1f206-9cad-4cf1-8629-b0cb1eb239d9,2025-07-22 20:57:20.099,DBULNES,2025-07-25 16:43:01.07,NMATAMOROS,1000,1123900003,,SGV,GTOSEGURVE,4_SVE25,2025,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,1.0200,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,,t,t,1
4d115e73-0de5-4325-a4fc-d7edd959c930,2025-07-22 20:57:20.099,DBULNES,2025-07-25 16:43:01.07,NMATAMOROS,1000,1129900099,,SGV,GTOSEGURVE,4_SVE25,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,t,t,1
0a41be86-b680-4a98-862b-e9b857c375c9,2025-07-22 20:57:20.099,DBULNES,2025-07-25 16:42:16.996,NMATAMOROS,1000,1111100005,,M2,GTOALQUIL,1_AQ_OP25,2025,1.9600,1.9600,1.9600,1.9600,1.9600,1.9600,1.9600,1.9600,1.9600,1.9600,1.9600,1.9600,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,,t,t,1
430952f8-d796-413f-ab11-a480b6e22b95,2025-07-22 20:57:20.099,DBULNES,2025-07-25 16:42:16.996,NMATAMOROS,1000,1111200001,,M2,GTOALQUIL,1_AQ_OP25,2025,14.7100,14.7100,14.7100,14.7100,14.7100,14.7100,14.7100,14.7100,14.7100,14.7100,14.7100,14.7100,0.1471,0.1471,0.1471,0.1471,0.1471,0.1471,0.1471,0.1471,0.1471,0.1471,0.1471,0.1471,,t,t,1
f3b37de6-e293-4182-b2cd-f14a69472a28,2025-07-22 20:57:20.099,DBULNES,2025-07-25 16:43:01.07,NMATAMOROS,1000,1140000001,,SGV,GTOSEGURVE,4_SVE25,2025,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,,t,t,1
a93dfdd1-7f3a-43f1-b046-95fd6a8001b1,2025-07-22 20:57:20.099,DBULNES,2025-07-25 16:43:01.07,NMATAMOROS,1000,1140000006,,SGV,GTOSEGURVE,4_SVE25,2025,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,3.0600,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,0.0306,,t,t,1
f4a344d2-9f10-4001-83f0-fa2235df1a26,2025-07-22 20:57:20.099,DBULNES,2025-07-25 16:43:01.07,NMATAMOROS,1000,1111300002,,SGV,GTOSEGURVE,4_SVE25,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,t,t,1
b5cc286b-9c10-44cc-bb98-b2bf4b87fabb,2025-07-22 20:57:20.099,DBULNES,2025-07-25 16:42:16.996,NMATAMOROS,1000,1111200002,,M2,GTOALQUIL,1_AQ_OP25,2025,6.8600,6.8600,6.8600,6.8600,6.8600,6.8600,6.8600,6.8600,6.8600,6.8600,6.8600,6.8600,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,,t,t,1
4abfdc66-db7c-4d4e-9cb4-8c404642f21d,2025-07-22 20:57:20.099,DBULNES,2025-07-25 16:42:16.996,NMATAMOROS,1000,1111200003,,M2,GTOALQUIL,1_AQ_OP25,2025,3.9200,3.9200,3.9200,3.9200,3.9200,3.9200,3.9200,3.9200,3.9200,3.9200,3.9200,3.9200,0.0392,0.0392,0.0392,0.0392,0.0392,0.0392,0.0392,0.0392,0.0392,0.0392,0.0392,0.0392,,t,t,1
d9f04b8e-fd86-48da-88be-933aed2c5f65,2025-07-22 20:57:20.099,DBULNES,2025-07-25 16:42:16.996,NMATAMOROS,1000,1111200007,,M2,GTOALQUIL,1_AQ_OP25,2025,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,t,t,1
