createdat,createdby,modifiedat,modifiedby,codigo,subnumero,serieactivo,descripcion,claseactivo_codigo,claseactivosap,centrocosto_codigo,fechainciodepreciacion,fechafindepreciacion,valorcompra,escenario,historico,fechacapitalizacion,moneda_code,bloqueouser,bloqueoadmin
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60100190,0,"",FP2019-011 DISCO DURO IT,4001,,1111100003,,,0.0000,1,t,2019-05-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60101389,0,"",PP2025_040 FortiSwitch-124G Holding,4001,,1113000007,,,0.0000,1,t,,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,100000162,0,"",LOCKER DE 4 PUERTAS,3000,,1131200002,,,11093.3100,1,t,2022-05-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60100099,0,"","ROSTIZADOR,COMODATO, VTAS/TGU",4001,,1112100001,,,0.0000,1,t,2018-09-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,120100294,0,"",ESCANER INALAMBRICO,3220,,1113000002,,,16318.9300,1,t,2020-05-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60100100,0,"","SILO/ABA, ALMACENAMIENTO DE GRANOS",4001,,1132000002,,,0.0000,1,t,2019-01-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60100125,0,"","FREEZERS N°44-5, COMODATO,VTAS/TGU",4001,,1112100001,,,0.0000,1,t,2018-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60100126,0,"","2 TELEVISORES 32"", ADMON/SEG",4001,,1111100004,,,0.0000,1,t,2018-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-07-25 17:05:07.585,DGOMEZADM,80001369,0,HL90870161,LAVADORA WHIRLPOOL DE 46.2 LBS/11 CICLOS,2000,,1123103001,,,12075.0000,1,t,2019-09-30,HNL,t,t
2025-07-21 14:23:59.299,DEVELOPER,2025-07-25 17:05:07.585,DGOMEZADM,100000142,0,1AAC-AS-12CR2FUL,AIRE ACONDICIONADO MINI SPLIT CONFORSTAR,3000,,1131800001,,,6800.0000,1,t,2019-12-01,HNL,t,t
2025-07-21 14:23:59.299,DEVELOPER,2025-07-25 17:05:07.585,DGOMEZADM,100000211,0,601717,"TERMOHIGROMETRO DIGITAL, TEMEPRATURA 0°C A 60°C /",3000,,1133000001,,,0.0000,1,t,2024-12-31,HNL,t,t
2025-07-21 14:23:59.299,DEVELOPER,2025-07-25 17:05:07.585,DGOMEZADM,100000220,0,"",TALADRO INALAMBRICO MAKITA FP2025-054,3000,,1123900002,,,0.0000,1,t,2025-06-30,HNL,t,t
2025-07-21 14:23:59.299,DEVELOPER,2025-07-25 17:05:07.585,DGOMEZADM,100000221,0,"",ESMERIL INALAMBRICO MAKITA DGA455ZX06 4.1/2 8500PM,3000,,1123900002,,,0.0000,1,t,2025-06-30,HNL,t,t
2025-07-21 14:23:59.299,DEVELOPER,2025-07-25 17:05:07.585,DGOMEZADM,100000222,0,"",SISTEMA DE DESCARGA DE SOYA/OBRACIVIL,3000,,1132000002,,,0.0000,1,t,2025-06-30,HNL,t,t
2025-07-21 14:23:59.299,DEVELOPER,2025-07-25 17:05:07.585,DGOMEZADM,100000223,0,"",SISTEMA DE DESCARGA DE SOYA / MAQUINARIA Y EQUIPO,3000,,1132000002,,,0.0000,1,t,2025-06-30,HNL,t,t
2025-07-21 14:23:59.299,DEVELOPER,2025-07-25 17:05:07.585,DGOMEZADM,100100016,0,MOB-001562,"AIRE ACONDICIONADO COMFORT STAR, COLOR AZUL CON BE",3020,,1111100002,,,1.0000,1,t,2018-02-28,HNL,t,t
2025-07-21 14:23:59.299,DEVELOPER,2025-07-25 17:05:07.585,DGOMEZADM,100100103,0,MYE10109-00761,UNIDAD ACONDICIONADORA COMFORTSTAR 12K 12BTU AAC-A,3020,,1111300003,,,8544.0100,1,t,2014-03-31,HNL,t,t
