createdat,createdby,modifiedat,modifiedby,codigo,descripcion,tipoorden,claseorden,moneda_code,fechainicio,valorinversion,liberado,division_codigo,centrologistico_codigo,centrocosto_codigo
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600079,Sistema a Granel DSP/ABA,01,Y600,HNL,2018-04-24,1101460.1400,t,1002,1000,1132000004
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600133,"SILO/ABA, ALMACENAMIENTO DE GRANOS",01,Y600,HNL,2018-09-01,1900000.0000,t,1002,1000,1132000002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601701,FP2024_071 COMP. LAPTOP ADMON. ABA OSCAR,01,Y600,HNL,2024-07-01,29100.0000,t,1002,1000,1132000099
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601702,FP2024_071 COMP. LAPTOP ADMON. ABA ROQUE,01,Y600,HNL,2024-07-01,29100.0000,t,1002,1000,1132000099
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600185,FP2018-002 BOMBA MOTOPULVERIZADORA AABA,01,Y600,HNL,2019-01-28,16000.0000,t,1002,1000,1132000099
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600214,FP2019-005 EQUIPO P/SILOS EXISTENTES ABA,01,Y600,HNL,2019-04-03,526000.0000,t,1002,1000,1132000099
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600275,PP2019-129 MOTOR PARA MEZCLADO PC MM,01,Y600,HNL,2019-05-03,90000.0000,t,1002,1000,1132000002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600384,PP2019_013 SISTEMA DE SOYA MYM/PAB,01,Y600,HNL,2019-09-11,1200000.0000,t,1002,1000,1132000002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,601434,FP2023_139 CONTROLADO ACEITE ABA,01,Y600,HNL,2023-07-20,606000.0000,t,1002,1000,1132000002
2025-08-27 22:33:26.341,DBULNES,2025-08-27 22:33:26.341,DBULNES,600925,FP2021_037 UPS PARA MEZCLADORA,01,Y600,HNL,2021-08-06,6000.0000,t,1002,1000,1132000002
