createdat,createdby,modifiedat,modifiedby,codigo,nombre,descripcion,proyecto_codigo,escenario,fechainicio,fechafin,solicitante_codigo,moneda_code,valorinversion,monedaoriginal_code,valorinversionoriginal,detallejustificacion,activo_codigo,activo_subnumero,claseactivo_codigo,colector_codigo,proveedor_codigo,observaciones,bloqueouser,bloqueoadmin
2025-09-11 17:09:23.887,CBERRIOS,2025-09-11 17:58:45.104,DGOMEZADM,NI_2025_0001,DIPSA,Compra de Silla Ejecutiva,PINV_001,1,2025-03-01,2025-03-31,11037,HNL,3650.0000,HNL,3650.0000,Silla dañada soportada bajo el reporte tecnico,PAF_2025_0001,0000,3020,,100067,,f,f
2025-09-11 17:33:08.517,CBERRIOS,2025-09-11 17:58:45.104,DGOMEZADM,NI_2025_0002,Inyectadora JBT,Mejora en Rendimiento ,PINV_002,1,2025-02-13,2025-09-11,11119,HNL,1500000.0000,HNL,1500000.0000,Incrementar un 2% de rendimiento ,,,2000,,,,f,f
2025-09-11 18:06:30.034,CBERRIOS,2025-09-11 20:01:56.415,CBERRIOS,NI_2025_0004,Bascula camionera ,Bascula de concreto 70x11 pies,PINV_003,1,2025-01-01,2025-03-31,10898,HNL,1911000.0000,USD,73500.0000,Mejora en el proceso de pesaje.,PAF_2025_0002,0000,2000,,100685,,f,f
2025-09-11 17:59:36.731,CBERRIOS,2025-09-11 20:05:19.23,CBERRIOS,NI_2025_0003,Obra Civil y Electrica - Bascula Camionera,"Construcción de caceta con losa, conex. electr.",PINV_003,1,2025-04-01,2025-09-30,10898,HNL,2446828.6000,HNL,2446828.6000,Mejorar el proceso de pesaje en un %%%,PAF_2025_0003,0000,2000,,101347,,f,f
2025-09-16 14:53:32.521,CBERRIOS,2025-09-16 15:43:12.275,CBERRIOS,NI_2025_0005,Freezer Horizontal ,Congelador 25 pies Horizontal,PINV_005,1,2025-08-21,2025-09-21,12700,HNL,23997.0000,HNL,23997.0000,"Incremento de volumen de ventas 61,404 libras; y en lps. 4,787,379.",,,3920,,101159,,f,f
2025-09-16 21:57:03.675,CBERRIOS,2025-09-16 22:13:20.645,CBERRIOS,NI_2025_0006,Obra Civil,Acondicionamiento de 64 m2 de local,PINV_006,1,2025-01-01,2025-06-30,12700,HNL,220489.0000,HNL,220489.0000,"Incremento de volumen de ventas ( 103,942 libras anual ) representando en lps. 4,047,683 de crecimiento anual.",,,1220,,100059,,f,f
2025-09-16 22:01:05.013,CBERRIOS,2025-09-16 22:14:47.208,CBERRIOS,NI_2025_0007,Instalaciones ,"Instalación de aire, lavatrasto , trampa de grasa ",PINV_006,1,2025-08-01,2025-08-31,12700,HNL,73295.0000,HNL,73295.0000,"Nueva sala de ventas incremento de 103,942 libras anual representando en lps . 4,047,683 de ingresos.",,,1220,,100059,,f,f
2025-09-16 22:05:16.315,CBERRIOS,2025-09-16 22:15:25.454,CBERRIOS,NI_2025_0008,Equipo de seguridad,Equipo de seguridad y monitoreo ,PINV_006,1,2025-08-01,2025-08-31,12700,HNL,36708.0000,HNL,36708.0000,"Parte de la sala de ventas incremento de 103,942 libras anual representando lps. 4,047,682 anual de ingresos
",,,3420,,100246,,f,f
2025-09-17 16:17:02.538,CBERRIOS,2025-09-17 17:14:25.083,CBERRIOS,NI_2025_0009,Obra Civil / Tercer Chiller ,Preparación de espacio para instalación.,PINV_007,1,2025-01-01,2025-06-30,11119,HNL,840000.0000,HNL,840000.0000,Reducción de 50% de gasto en horas extras y reducción en cuenta de gasto de maquilado.,,,1200,,100059,,f,f
2025-09-17 16:21:50.152,CBERRIOS,2025-09-17 17:16:41.943,CBERRIOS,NI_2025_0010,Tercer Chiller / Maquinaria ; Equipo,Tercer Chiller; accesorios .,PINV_007,1,2025-01-01,2025-07-31,11119,HNL,3394000.0000,HNL,3394000.0000,"Mejora en tiempos de proceso y calidad del producto; hasta 55,000 aves diarias.",,,2000,,100346,,f,f
