material_codigo,centrologistico_codigo,ejercicio,escenario,alta01,alta02,alta03,alta04,alta05,alta06,alta07,alta08,alta09,alta10,alta11,alta12
18000007,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6200
12000006,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12000043,2120,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9781
19000007,5000,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18000310,2020,2025,1,331.5051,0.0000,0.0000,163.1281,0.0000,0.0000,0.0000,0.0000,92.8648,0.0000,0.0000,0.0000
18000300,2020,2025,1,1226.8826,889.5297,697.6881,573.9141,0.0000,422.9803,0.0000,334.3868,0.0000,0.0000,255.2124,0.0000
18000291,2020,2025,1,0.2900,0.2683,0.0162,0.0127,0.0103,0.0077,0.0000,0.0051,0.0047,0.0043,0.0038,0.0374
18000007,2020,2025,1,0.0000,0.2832,0.2665,0.1925,0.1790,0.0000,0.1157,0.0992,0.0867,0.0839,0.0748,0.0000
30000002,1000,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6737
30000001,1000,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5066
19000007,5000,2025,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18000303,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4280
12000005,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2869
16000000,2300,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7100
30000001,1000,2025,1,7.8165,6.7175,5.5415,5.0636,4.2533,3.8460,3.3958,3.1145,2.7749,2.5558,2.3417,2.1966
16000001,4000,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18000110,2020,2025,1,0.0836,0.0688,0.0843,0.0468,0.0395,0.0000,0.0298,0.0267,0.0248,0.0226,0.0000,0.0296
18000291,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2900
12000004,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8408
18000320,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1674.3551
17000004,6000,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.7067
12000043,2120,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9946
14000003,2120,2025,1,468.4723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17000004,6000,2025,1,124.6813,39.3017,22.6765,37.1888,17.0228,17.4829,11.4566,16.1371,9.0853,6.8638,7.8668,6.1405
30000000,1000,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2759
16000000,2300,2025,1,11.7100,5.7625,3.8215,2.8587,2.2833,1.9008,1.6280,1.4237,1.2650,1.1381,1.0344,0.9479
18000320,2020,2025,1,0.0000,1653.8798,1644.4735,0.0000,1635.3629,0.0000,1616.2084,1606.9907,0.0000,1588.3822,1570.2567,0.0000
12000006,2020,2025,1,0.0000,5.6114,6.3309,6.4995,5.7155,4.5394,3.2863,0.0000,0.0000,3.2958,3.3347,4.2847
12000005,2020,2025,1,6.2964,5.9853,5.9896,6.0448,5.5841,4.0167,3.1887,1.9958,1.9488,1.7383,1.4278,1.6705
21000040,5000,2025,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16000001,4000,2025,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18000310,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,352.1620
18000047,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000
18000051,2020,2025,1,0.1263,0.1031,0.0783,0.0836,0.0758,0.0615,0.0554,0.0422,0.0341,0.0290,0.0266,0.0254
18000210,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1100
18000007,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18000210,2020,2025,1,0.1100,0.0964,0.0597,0.0533,0.0000,0.0310,0.0259,0.0222,0.0213,0.0187,0.0000,0.0149
18000051,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5800
18000047,2020,2025,1,0.0504,0.0360,0.0277,0.0435,0.0368,0.0313,0.0273,0.0243,0.0218,0.0198,0.0181,0.0167
30000000,1000,2025,1,1.9832,2.4678,2.2717,2.6849,2.4418,2.6820,2.2157,2.5885,1.9920,2.1780,2.0101,2.1129
12000030,2020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2024
